epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.32389,2.1579,3.47222,2.82916,0.00997,1,0.04931,0.01301,2.70522,3.07619,3.75824,0,0,0
2,4.74509,1.99958,3.72751,2.37974,0.01003,1,0.04909,0.01353,2.74064,3.01925,3.72408,1.66535e-05,1.66535e-05,1.66535e-05
3,5.00507,2.38331,3.96982,2.605,0.01007,1,0.04839,0.01451,2.64924,2.98207,3.60771,3.3274e-05,3.3274e-05,3.3274e-05
4,5.26633,1.98649,3.3514,2.18467,0.01003,1,0.04772,0.01454,2.61714,3.01515,3.62262,4.98615e-05,4.98615e-05,4.98615e-05
5,5.58284,2.05223,3.47987,2.15785,0.01017,1,0.04403,0.01421,2.55258,2.96368,3.40964,6.64159e-05,6.64159e-05,6.64159e-05
6,5.89849,2.51228,3.6036,2.64,0.00997,1,0.04587,0.01534,2.33832,2.981,3.19545,8.29374e-05,8.29374e-05,8.29374e-05
7,6.2076,2.29362,3.66564,2.68236,0.00987,1,0.07483,0.02267,2.17391,2.97513,2.97032,9.94259e-05,9.94259e-05,9.94259e-05
8,6.52054,2.30291,3.49359,2.6261,0.00984,1,0.07188,0.02205,2.12327,2.99243,2.89597,0.000115881,0.000115881,0.000115881
9,6.86056,1.81607,3.29676,2.25489,0.01,1,0.10582,0.0273,2.11166,2.9617,2.82502,0.000132304,0.000132304,0.000132304
10,7.15711,1.85245,3.40468,2.19757,0.01007,1,0.11359,0.03794,2.17547,2.91327,2.89375,0.000148693,0.000148693,0.000148693
11,7.49352,1.93747,3.21125,2.29216,0.0101,1,0.14191,0.04622,2.15247,2.89611,2.87766,0.00016505,0.00016505,0.00016505
12,7.78201,1.73968,3.26561,2.05399,0.0101,1,0.21321,0.04575,2.22555,2.84994,2.93704,0.000181373,0.000181373,0.000181373
13,8.10141,2.10848,3.36203,2.48835,0.01034,1,0.16583,0.05471,2.24136,2.81798,2.97218,0.000197664,0.000197664,0.000197664
14,8.46026,1.53176,3.36692,2.06409,0.01017,1,0.16583,0.07149,2.15812,2.8119,2.90423,0.000213921,0.000213921,0.000213921
15,8.7617,1.7102,3.20108,2.05818,0.01007,1,0.37964,0.11953,2.0715,2.82373,2.79556,0.000230145,0.000230145,0.000230145
16,9.11194,1.3987,3.07483,1.89151,0.00993,1,0.71,0.20312,2.06907,2.79423,2.7659,0.000246337,0.000246337,0.000246337
17,9.46498,1.40372,3.12835,1.87693,0.00943,1,0.71,0.21751,2.07152,2.7476,2.77478,0.000262495,0.000262495,0.000262495
18,9.78411,1.23897,2.97146,1.78151,0.00943,1,0.71,0.21751,2.07152,2.7476,2.77478,0.000278621,0.000278621,0.000278621
19,10.1055,1.54702,3.25207,1.86855,0.00937,1,0.69329,0.31369,2.1168,2.69997,2.80873,0.000294713,0.000294713,0.000294713
20,10.4365,1.28962,2.9713,1.66419,0.00937,1,0.69329,0.31369,2.1168,2.69997,2.80873,0.000310772,0.000310772,0.000310772
21,10.8528,1.1268,3.05732,1.5433,0.00898,1,0.67753,0.26776,2.16849,2.6658,2.8593,0.000326799,0.000326799,0.000326799
22,11.1908,1.43783,3.00824,2.05529,0.00898,1,0.67753,0.26776,2.16849,2.6658,2.8593,0.000342792,0.000342792,0.000342792
23,11.5286,1.25957,2.9762,1.6604,0.0088,1,0.56651,0.26221,2.19012,2.67193,2.89269,0.000358752,0.000358752,0.000358752
24,11.8203,1.08539,2.7848,1.63175,0.0088,1,0.56651,0.26221,2.19012,2.67193,2.89269,0.00037468,0.00037468,0.00037468
25,12.1857,1.19905,2.8355,1.69642,0.00865,1,0.6875,0.2115,2.16487,2.63905,2.85253,0.000390574,0.000390574,0.000390574
26,12.5166,1.10821,2.57606,1.58508,0.00865,1,0.6875,0.2115,2.16487,2.63905,2.85253,0.000406435,0.000406435,0.000406435
27,12.8434,1.27853,2.77074,1.6484,0.04352,1,0.665,0.26593,2.13166,2.52359,2.87262,0.000422264,0.000422264,0.000422264
28,13.1364,1.1393,2.45855,1.62754,0.04352,1,0.665,0.26593,2.13166,2.52359,2.87262,0.000438059,0.000438059,0.000438059
29,13.4605,1.14577,2.51363,1.57511,0.39332,0.66667,0.59075,0.27887,1.98016,2.38775,2.94937,0.000453821,0.000453821,0.000453821
30,13.7618,1.00404,2.34016,1.37497,0.39332,0.66667,0.59075,0.27887,1.98016,2.38775,2.94937,0.000469551,0.000469551,0.000469551
31,14.0687,1.25062,2.64021,1.51632,0.456,0.57867,0.5825,0.25055,2.06556,2.31464,2.88217,0.000485247,0.000485247,0.000485247
32,14.3618,1.30298,2.28046,1.62475,0.456,0.57867,0.5825,0.25055,2.06556,2.31464,2.88217,0.00050091,0.00050091,0.00050091
33,14.6982,1.0655,2.05501,1.51022,0.78074,0.66667,0.764,0.22746,2.06129,2.15595,2.62394,0.000516541,0.000516541,0.000516541
34,15.0008,1.10312,2.03937,1.68411,0.78074,0.66667,0.764,0.22746,2.06129,2.15595,2.62394,0.000532138,0.000532138,0.000532138
35,15.2974,1.37406,2.49028,2.06345,0.60632,0.66667,0.665,0.27406,2.11466,1.97568,2.8788,0.000547702,0.000547702,0.000547702
36,15.5781,1.1184,1.84092,1.55246,0.60632,0.66667,0.665,0.27406,2.11466,1.97568,2.8788,0.000563233,0.000563233,0.000563233
37,15.8733,1.01473,1.85959,1.39262,0.60793,0.66667,0.6375,0.26655,2.04694,2.02228,3.45288,0.000578732,0.000578732,0.000578732
38,16.1454,1.02013,1.97177,1.49127,0.60793,0.66667,0.6375,0.26655,2.04694,2.02228,3.45288,0.000594197,0.000594197,0.000594197
39,16.4412,1.17632,1.7754,1.76351,0.58636,0.66667,0.654,0.19341,2.09352,2.02712,3.79786,0.000609629,0.000609629,0.000609629
40,16.7441,1.10428,1.83165,1.54755,0.58636,0.66667,0.654,0.19341,2.09352,2.02712,3.79786,0.000625028,0.000625028,0.000625028
41,17.0711,1.22478,1.97347,1.63193,0.57007,0.66667,0.69643,0.18056,2.25078,2.26449,3.87425,0.000640395,0.000640395,0.000640395
42,17.3824,0.95003,1.75766,1.33135,0.57007,0.66667,0.69643,0.18056,2.25078,2.26449,3.87425,0.000655728,0.000655728,0.000655728
43,17.7596,1.30767,1.583,1.71014,0.2725,0.33333,0.31129,0.1708,2.41817,2.49483,3.98944,0.000671028,0.000671028,0.000671028
44,18.0284,0.85147,1.47025,1.37031,0.2725,0.33333,0.31129,0.1708,2.41817,2.49483,3.98944,0.000686295,0.000686295,0.000686295
45,18.35,0.94157,1.49638,1.38102,0.25141,0.33333,0.533,0.2857,2.33063,2.3923,4.00225,0.00070153,0.00070153,0.00070153
46,18.6578,0.88759,1.31962,1.33083,0.25141,0.33333,0.533,0.2857,2.33063,2.3923,4.00225,0.000716731,0.000716731,0.000716731
47,18.9906,0.96219,1.38971,1.42092,0.4912,1,0.4975,0.22329,2.18001,2.12292,3.56744,0.000731899,0.000731899,0.000731899
48,19.2737,0.77686,1.29459,1.24852,0.4912,1,0.4975,0.22329,2.18001,2.12292,3.56744,0.000747034,0.000747034,0.000747034
49,19.6318,1.28462,2.73392,2.05347,0.87929,0.66667,0.863,0.39028,1.92722,1.78412,3.32108,0.000762136,0.000762136,0.000762136
50,19.9533,0.86336,1.18308,1.30189,0.87929,0.66667,0.863,0.39028,1.92722,1.78412,3.32108,0.000777206,0.000777206,0.000777206
51,20.2567,1.11137,1.416,1.64105,0.72535,1,0.9125,0.34364,1.92444,1.84197,3.29737,0.000792242,0.000792242,0.000792242
52,20.5641,0.74359,1.31499,1.27173,0.72535,1,0.9125,0.34364,1.92444,1.84197,3.29737,0.000807245,0.000807245,0.000807245
53,20.859,0.9881,1.59415,1.42128,0.72535,1,0.9125,0.34364,1.92444,1.84197,3.29737,0.000822215,0.000822215,0.000822215
54,21.1655,0.92282,1.24838,1.26657,1,0.95175,0.995,0.48322,1.65754,1.58422,2.64895,0.000837152,0.000837152,0.000837152
55,21.4906,1.19363,1.86536,1.5663,1,0.95175,0.995,0.48322,1.65754,1.58422,2.64895,0.000852056,0.000852056,0.000852056
56,21.7765,0.73168,1.21452,1.22569,1,0.95175,0.995,0.48322,1.65754,1.58422,2.64895,0.000866928,0.000866928,0.000866928
57,22.0781,1.11269,1.75682,1.6908,0.71659,1,0.9125,0.61486,1.35683,1.332,2.00903,0.000881766,0.000881766,0.000881766
58,22.3636,0.83348,1.20989,1.30031,0.71659,1,0.9125,0.61486,1.35683,1.332,2.00903,0.000896571,0.000896571,0.000896571
59,22.6629,0.86576,1.44393,1.29315,0.71659,1,0.9125,0.61486,1.35683,1.332,2.00903,0.000911343,0.000911343,0.000911343
60,22.9654,0.80381,1.39157,1.30464,0.71643,1,0.9125,0.63875,1.14908,1.29836,1.74902,0.000926082,0.000926082,0.000926082
61,23.2716,0.78943,1.27134,1.18153,0.71643,1,0.9125,0.63875,1.14908,1.29836,1.74902,0.000940788,0.000940788,0.000940788
62,23.557,0.98777,1.36426,1.45602,0.71643,1,0.9125,0.63875,1.14908,1.29836,1.74902,0.000955461,0.000955461,0.000955461
63,23.8612,0.96611,1.37997,1.44476,1,0.64535,0.863,0.68779,1.04825,1.56523,1.60803,0.000970101,0.000970101,0.000970101
64,24.1416,0.78566,1.30427,1.33285,1,0.64535,0.863,0.68779,1.04825,1.56523,1.60803,0.000984708,0.000984708,0.000984708
65,24.4268,0.99385,1.46603,1.50667,1,0.64535,0.863,0.68779,1.04825,1.56523,1.60803,0.000999282,0.000999282,0.000999282
66,24.78,0.82066,1.44363,1.20482,1,0.63304,0.863,0.53524,1.23849,1.8771,1.86071,0.00101382,0.00101382,0.00101382
67,25.0571,0.80839,1.47722,1.41247,1,0.63304,0.863,0.53524,1.23849,1.8771,1.86071,0.00102833,0.00102833,0.00102833
68,25.3785,0.83488,1.30824,1.26308,1,0.63304,0.863,0.53524,1.23849,1.8771,1.86071,0.00104281,0.00104281,0.00104281
69,25.6942,0.59612,1.13164,1.12945,0.7478,1,0.9125,0.515,1.89909,1.87747,2.78928,0.00105725,0.00105725,0.00105725
70,26.0225,0.82221,1.24452,1.35268,0.7478,1,0.9125,0.515,1.89909,1.87747,2.78928,0.00107166,0.00107166,0.00107166
71,26.298,0.71074,1.18183,1.22238,0.7478,1,0.9125,0.515,1.89909,1.87747,2.78928,0.00108603,0.00108603,0.00108603
72,26.612,1.17551,1.57086,1.57688,0.95599,0.66667,0.73571,0.25213,2.45395,2.10477,3.81077,0.00110038,0.00110038,0.00110038
73,26.9106,0.83152,1.23489,1.33995,0.95599,0.66667,0.73571,0.25213,2.45395,2.10477,3.81077,0.00111469,0.00111469,0.00111469
74,27.2948,0.81474,1.45709,1.36455,0.95599,0.66667,0.73571,0.25213,2.45395,2.10477,3.81077,0.00112896,0.00112896,0.00112896
75,27.5872,0.82617,1.26999,1.34862,1,0.63626,0.863,0.22513,2.47938,2.24526,3.8268,0.00114321,0.00114321,0.00114321
76,27.8957,0.84575,1.29429,1.31438,1,0.63626,0.863,0.22513,2.47938,2.24526,3.8268,0.00115742,0.00115742,0.00115742
77,28.2593,0.65367,1.0311,1.11187,1,0.63626,0.863,0.22513,2.47938,2.24526,3.8268,0.0011716,0.0011716,0.0011716
78,28.612,0.85374,1.3602,1.14411,0.94653,1,0.995,0.38321,2.26407,2.32357,3.48382,0.00118574,0.00118574,0.00118574
79,28.9189,0.99048,1.37398,1.37833,0.94653,1,0.995,0.38321,2.26407,2.32357,3.48382,0.00119985,0.00119985,0.00119985
80,29.2584,0.64781,1.06597,1.10732,0.94653,1,0.995,0.38321,2.26407,2.32357,3.48382,0.00121393,0.00121393,0.00121393
81,29.572,0.65853,0.96179,1.16951,0.45282,0.66667,0.54125,0.33583,2.27263,2.15376,3.3043,0.00122798,0.00122798,0.00122798
82,29.9265,0.71278,1.04539,1.1978,0.45282,0.66667,0.54125,0.33583,2.27263,2.15376,3.3043,0.00124199,0.00124199,0.00124199
83,30.5939,0.8727,1.17522,1.32034,0.45282,0.66667,0.54125,0.33583,2.27263,2.15376,3.3043,0.00125597,0.00125597,0.00125597
84,30.9223,0.89922,1.67202,1.50961,0.28155,0.66667,0.33574,0.18142,2.36143,2.16689,3.23294,0.00126992,0.00126992,0.00126992
85,31.3303,0.79588,1.12313,1.23062,0.28155,0.66667,0.33574,0.18142,2.36143,2.16689,3.23294,0.00128383,0.00128383,0.00128383
86,31.6362,0.84456,1.21513,1.31344,0.28155,0.66667,0.33574,0.18142,2.36143,2.16689,3.23294,0.00129771,0.00129771,0.00129771
87,31.9466,0.95293,1.17954,1.3531,0.28155,0.66667,0.33574,0.18142,2.36143,2.16689,3.23294,0.00131156,0.00131156,0.00131156
88,32.2449,0.75954,1.13559,1.2742,1,0.6062,0.80643,0.35557,2.2676,1.85271,2.97821,0.00132538,0.00132538,0.00132538
89,32.5215,0.8761,1.19564,1.38249,1,0.6062,0.80643,0.35557,2.2676,1.85271,2.97821,0.00133916,0.00133916,0.00133916
90,32.8573,0.93339,1.14481,1.25664,1,0.6062,0.80643,0.35557,2.2676,1.85271,2.97821,0.00135291,0.00135291,0.00135291
91,33.2821,0.70297,1.14989,1.18454,1,0.6062,0.80643,0.35557,2.2676,1.85271,2.97821,0.00136662,0.00136662,0.00136662
92,33.7055,0.80696,1.02097,1.17148,1,0.91335,0.995,0.48255,1.43006,1.72442,2.10986,0.00138031,0.00138031,0.00138031
93,34.0952,0.63267,0.95944,1.04242,1,0.91335,0.995,0.48255,1.43006,1.72442,2.10986,0.00139396,0.00139396,0.00139396
94,34.4851,0.75082,1.07972,1.1361,1,0.91335,0.995,0.48255,1.43006,1.72442,2.10986,0.00140757,0.00140757,0.00140757
95,34.8071,0.63267,1.01013,1.10474,1,0.91335,0.995,0.48255,1.43006,1.72442,2.10986,0.00142116,0.00142116,0.00142116
96,35.1966,0.98718,1.31655,1.25548,0.99775,1,0.995,0.5474,1.41836,1.68663,2.1045,0.00143471,0.00143471,0.00143471
97,35.5486,0.74249,1.08115,1.14022,0.99775,1,0.995,0.5474,1.41836,1.68663,2.1045,0.00144823,0.00144823,0.00144823
98,35.9158,0.71702,1.20333,1.27925,0.99775,1,0.995,0.5474,1.41836,1.68663,2.1045,0.00146171,0.00146171,0.00146171
99,36.3202,0.87119,1.12854,1.17329,0.99775,1,0.995,0.5474,1.41836,1.68663,2.1045,0.00147516,0.00147516,0.00147516
100,36.6944,0.8743,1.04218,1.26183,0.94955,1,0.995,0.53933,1.52804,1.45205,2.11397,0.00148858,0.00148858,0.00148858
101,37.128,0.85869,0.96028,1.20793,0.94955,1,0.995,0.53933,1.52804,1.45205,2.11397,0.00150197,0.00150197,0.00150197
102,37.5839,0.76798,1.00008,1.19782,0.94955,1,0.995,0.53933,1.52804,1.45205,2.11397,0.00150032,0.00150032,0.00150032
103,37.9426,0.69855,0.91682,1.07287,0.94955,1,0.995,0.53933,1.52804,1.45205,2.11397,0.00149867,0.00149867,0.00149867
104,38.298,0.70682,1.09781,1.18239,0.96593,1,0.995,0.63137,1.33941,2.02894,2.15667,0.00149702,0.00149702,0.00149702
105,38.6611,0.83043,0.90417,1.16158,0.96593,1,0.995,0.63137,1.33941,2.02894,2.15667,0.00149537,0.00149537,0.00149537
106,39.0168,0.77374,0.97511,1.12624,0.96593,1,0.995,0.63137,1.33941,2.02894,2.15667,0.00149372,0.00149372,0.00149372
